City,County,Name,Phone,Street1
JACKSONVILLE,Pulaski,JACKSONVILLE CENTRAL AT HOME,501-241-1300,400 T P WHITE DR
FORREST CITY,St. Francis,FORREST CITY AT HOME,870-494-4022,1501 NORTH WASHINGTON ST
HOT SPRINGS,Garland,HOT SPRINGS AT HOME,501-624-0153,115 WRIGHTS ST
TEXARKANA,Miller,MILLER COUNTY DIALYSIS,870-772-2756,816 EAST ST
HOPE,Hempstead,HEMPSTEAD COUNTY DIALYSIS,870-722-8927,1301 N HERVEY ST
MAGNOLIA,Columbia,SOUTHWEST ARKANSAS DIALYSIS,870-626-3004,405 N FREDERICK
NORTH LITTLE ROCK,Pulaski,SPRINGHILL HOME TRAINING,501-604-0350,3401 SPRINGHILL DR
CONWAY,Fulton,CONWAY DIALYSIS,501-328-2186,2445 CHRISTINA LN
MARION,Crittenden,RENAL CARE MARION AT HOME,870-735-4006,1120 HWY 77
BENTON,Saline,SALINE COUNTY DIALYSIS,501-776-1816,1200 N MAIN ST
LITTLE ROCK,Pulaski,LITTLE ROCK MIDTOWN DIALYSIS,501-221-3123,2 LILE CT
LITTLE ROCK,Pulaski,SOUTH LITTLE ROCK AT HOME,501-570-0543,6115 BASELINE RD
JACKSONVILLE,Pulaski,PULASKI COUNTY DIALYSIS,501-982-1004,202 JOHN HARDEN DR
NORTH LITTLE ROCK,Pulaski,SPRINGHILL DIALYSIS,501-945-3669,3401 SPRINGHILL DR
SEARCY,White,SEARCY DIALYSIS,501-268-4400,3208 LANGLEY DR
NEWPORT,Jackson,JACKSON COUNTY DIALYSIS,870-523-2607,1912 MCLAIN ST
BATESVILLE,Independence,INDEPENDENCE COUNTY DIALYSIS,870-307-0828,1700 HARRISON ST
LITTLE ROCK,Pulaski,SOUTH LITTLE ROCK DIALYSIS,501-570-0543,6115 BASELINE RD
POCAHONTAS,Randolph,POCAHONTAS DIALYSIS,870-248-0138,404 CAMP RD
FORREST CITY,St. Francis,FORREST CITY DIALYSIS,870-494-4022,1501 N WASHINGTON ST
CONWAY,Faulkner,COLLEGE CITY DIALYSIS,501-504-2474,2630 DONAGHEY AVE
WARREN,Bradley,BRADLEY COUNTY DIALYSIS,870-226-7180,204 BRAGG ST
ROCKPORT,Hot Spring,MALVERN DIALYSIS,501-332-3000,1590 TANNER ST
CROSSETT,Ashley,ASHLEY DIALYSIS,870-305-1225,1019 FRED LAGRONE DR
Jonesboro,Craighead,Cardiology Associates of Jonesboro Inc.,870-935-6729,201 East Oak
Russellville,Pope,Arkansas Tech University Health and Wellness Center,479-968-0329,1605 Coliseum Drive
Rogers,Benton,Northwest Arkansas Internal Medicine,479-282-0316,5212 W Village Parkway
Jonesboro,Craighead,St. Bernards Clopton Clinic,870-932-1198,300 Carson
Hamburg,Ashley,Hamburg Pharmacy,870-853-2191,302 South Main Street
Danville,Yell,Wayne Farms - Danville Occupational Health,479-495-4453,2301 East 8th Street
BULL SHOALS,Marion,HAWKINS LAKESIDE PHARMACY,870-445-7188,902 CENTRAL BLVD
Sherwood,Pulaski,CVS 10430,501-834-1090,8604 Highway 107
Russellville,Pope,Monfee Medical Clinic,479-968-1245,3812 W. Main St.
North Little Rock,Pulaski,David's Pharmacy dba The Medicine Shoppe,501-758-1010,3836 John F Kennedy Blvd
West Memphis,Arkansas,Coast to Coast Medical,870-732-0332,2201 Horizon Drive
Gosnell,Mississippi,Gosnell Drugs,870-751-9242,134 Bevill Ave
Cabot,Lonoke,"GetWell Rx, LLC",501-422-6800,123 S 2nd St
Fayetteville,Washington,"Delta Medical Infusion, LLC",479-445-6833,375 E. Millsap
Blytheville,Mississippi,Family Medicine Associates of Blytheville,870-762-5360,1521 N. 10th St.
Harrison,Boone,"Hometown Doc, PA",870-414-4000,620 N Main St
Conway,Faulkner,Eric Woodard Clinic,501-450-6400,525 Hendrix Cv
fort smith,Sebastian,"HEALTHSTAT,INC HSM",479-646-6161,4925 state line road
Camden,Ouachita,Morrison's Clinic Pharmacy,870-836-2727,353 Cash RD
Camden,Ouachita,Morrison's Pharmacy,870-836-8131,1286 Highway 278 Bypass
LITTLE ROCK,Pulaski,Jimmerson Family HealthCare P.A. -  S University,501-569-9961,500 S UNIVERSITY
Magnolia,Columbia,Southern Arkansas University,870-235-5237,100 E. University
Star City,Lincoln,Beard Drug Company,870-628-4277,614 S. Lincoln Ave.
Monticello,Drew,Jefferson County Dialysis dba Monticello Dialysis,870-367-3100,774 Jordan Drive
Salem,Fulton,Salem Drug Company,870-895-7455,502 Hwy 62 West
Little Rock,Pulaski,MATRIX MEDICAL NETWORK - AMAZON - LIT1,855-855-8644,7001 Zeuber Rd
Van Buren,Crawford,Tyson-Van Buren Plant,855-855-8644,802 S 28th St
Russellville,Pope,Tyson-Tyler Road Plant,855-855-8644,620 Tyler Road
Rogers,Benton,Tyson-TOR Plant,855-855-8644,212 E Elm St
Scranton,Logan,Tyson-RVI Scranton,855-855-8644,7755 N State Hwy 393
Springdale,Washington,Tyson-Randall Road Plant,855-855-8644,671 W Randall Wobbe LN
Pine Bluff,Jefferson,Tyson-Pine Bluff Plant,855-855-8644,5505 Jefferson Prkwy
North Little Rock,Pulaski,Tyson-North Little Rock Plant,855-855-8644,3800 Progress St
Nashville,Howard,Tyson-Nashville,855-855-8644,100 E Cassady St
Hope,Hempstead,Tyson-Hope Plant,855-855-8644,275 Hempstead 278
Green Forrest,Crawford,Tyson-Green Forest Plant,855-855-8644,601 Tyson Drive
Grannis,Polk,Tyson- Grannis Plant,855-855-8644,8564 Hwy 71 S
Fort Smith,Sebastian,Tyson-Fort Smith Plant,855-855-8644,1610 Midland Blvd
Fayetteville,Washington,Tyson-Fayetteville Complex,855-855-8644,2615 S School Ave
Dardanelle,Yell,Tyson- Dardanelle Plant,855-855-8644,1291 State HWY 7 N
Texarkana,Miller,Tyson-Texarkana Truck Stop,855-855-8644,5465 Miller County 64
Waldron,Scott,Tyson Waldron Plant,855-855-8644,442 Plant Street
Springdale,Washington,Tyson-Corporate,855-855-8644,2200 W Don Tyson Pkwy
Siloam Springs,Benton,Tyson-Cobb Vantress Corporate,855-855-8644,4703 US HWY 412 E
Clarksville,Craighead,Tyson-Clarksville Plant,855-855-8644,301 E Cherry Street
Rogers,Benton,Tyson-Chick-N-Quick Plant,855-855-8644,400 W Orlich St
Berryville,Carroll,Tyson-Berryville Plant,855-855-8644,110 W Freeman Ave
Springdale,Washington,Tyson- Berry Street Plant,855-855-8644,600 Berry Street
Pineville,Izard,Tyson- Bear Hollow Farms,855-855-8644,340 Cobb LN
Arkadelphia,Clark,Twin Rivers Health and Rehab,870-246-6337,3021 Twin Rivers Drive
Helena,Phillips,M-C Drug Store,870-338-3414,533 Porter Street
Little Rock,Pulaski,Autumn Road Family Practice,501-227-6363,904 Autumn Road
Sheridan,Grant,"The Winston Clinic, PA",870-942-3000,506 Little Creek Cutoff
Fayetteville,Washington,Mercy GoHealth Fayetteville,479-439-8120,3391 N. College Ave
Springdale,Washington,Mercy GoHealth Springdale,479-318-0161,4962 Elm Springs Road
Rogers,Benton,Mercy GoHealth Rogers,479-616-1485,2012 S. Promenade Blvd.
Lewisville,Lafayette,Lafayette County Family Practice,870-921-3950,226 Spruce St
FAYETTEVILLE,Washington,KARAS HEALTH CARE,479-435-5651,114 HARRISON AVE
FAYETTEVILLE,Washington,KARAS HEALTH CARE,479-435-5651,767 W NORTH STREET
Stuttgart,Arkansas,Stuttgart Dialysis,870-673-8823,805 Madison Street
Damascus,Faulkner,Damascus Drug Inc,501-335-7041,5 AR Highway 124 W
Van Buren,Crawford,BH URGENT CARE ALMA,479-709-7020,2521 Alma Hwy
Van Buren,Crawford,BH FAMILY CLINIC VAN BUREN STE A,479-747-3399,209 W. Pointer Trail
Fort Smith,Sebastian,BH FAMILY CLINIC KELLEY,479-573-7990,4700 Kelley Hwy
Fort Smith,Sebastian,BH FAMILY CLINIC ELLSWORTH STE A,479-709-7440,5428 Ellsworth Rd
Fort Smith,Sebastian,BH FAMILY CLINIC DODSON STE 195,479-573-7910,1500 Dodson
Fort Smith,Sebastian,BH ADULT MEDICINE SPECIALISTS FORT SMITH,479-709-7260,1120 Lexington
Fort Smith,Sebastian,Baptist Health Family Clinic - Chaffee Crossing,479-709-7150,11300 Roberts Blvd.
Fort Smith,Sebastian,Baptist Health Family Clinic Southpointe,479-709-7120,3808 South Gary
Fort Smith,Sebastian,Baptist Health Family Clinic- Massard,479-709-7250,4100 Massard Rd.
Greenwood,Sebastian,Baptist Health Family Clinic Greenwood,479-996-5585,1480 West Center St.
Van Buren,Arkansas,Baptist Health Family Clinic and Urgent Care- Gothic Ridge,479-747-1100,14 Gothic Ridge Road
Fort Smith,Sebastian,Baptist Health Family and Occupational Clinic South,479-709-7465,8600 South 36th Terrace
Fort Smith,Sebastian,Baptist Health Family Clinic Dodson,479-573-7840,1500 Dodson
Helena,Phillips,RCG Mississippi/dba /Fresenius Kidney Care Helena,870-338-7800,108 D'Anna Place
WARREN,Bradley,THE MEDICINE CABINET,870-466-5000,319 S MAIN ST
North Little Rock,Pulaski,"Govinda Lohani, MD, PA",501-580-7952,4020 Richards Rd
El Dorado,Union,"CSS Healthcare, LLC",870-639-3910,525 West Faulkner Street
Little Rock,Pulaski,CHI Primary Care Midtowne Clinic,501-552-7900,1100 North University
Arkadelphia,Clark,CHI St Vincent Primary Care - Arkadelphia,870-245-2240,3004 Pine St
Mt Ida,Montgomery,CHI St Vincent Primary Care - Mt Ida,870-867-2175,320 Luzerne
Hot Springs,Garland,CHI St Vincent Primary Care - Internal Medicine South,501-623-2781,1662 Higdon Ferry Rd
Murfreesboro,Pike,CHI St Vincent Primary Care - Murfreesboro,870-285-3118,319 East 13th Street
Hot Springs,Garland,CHI St Vincent Primary Care - 70W,501-767-6200,1707 Airport Rd
Glenwood,Pike,CHI St Vincent Primary Care - Glenwood,870-356-4821,234 Broadway
Hot Springs,Garland,CHI St Vincent Primary Care - 270W,501-767-9111,2825 Albert Pike
Hot Springs,Garland,CHI St Vincent Primary Care - Hot Springs Village DeSoto,501-915-0936,903 DeSoto
Hot Springs,Garland,CHI St Vincent Pediatrics - McAuley,501-321-2546,225 McAuley Court
Hot Springs,Garland,CHI St Vincent Primary Care - Hot Springs Main,501-622-6500,One Mercy Lane
Malvern,Hot Spring,CHI St Vincent Primary Care - Malvern,501-332-8612,1424 Tanner St
Little Rock,Pulaski,CHI St Vincent Community Care - East,501-552-4710,2500 East 6th Street
Sherwood,Pulaski,CHI St Vincent Primary Care - Sherwood,501-552-7262,7709 Hwy 107
Jacksonville,Pulaski,CHI St Vincent Primary Care - Jacksonville,501-985-2537,1401 Braden St
Little Rock,Pulaski,CHI St Vincent - Business Health & Convenient Care,501-552-8860,6800 Lindsey Rd
Little Rock,Pulaski,CHI St Vincent - Little Rock Diagnostic Clinic,501-552-0500,10001 Lile Drive
Little Rock,Pulaski,CHI St Vincent Primary & Convenient Care - University,501-562-4838,4202 South University Ave.
Little Rock,Pulaski,CHI St Vincent Family Clinic Chenal,501-552-8150,16221 St. Vincent Way
Springdale,Washington,Advanced Primary Care and Obstetrics,479-966-7331,5320 W Sunset Ave
Bryant,Saline,Clearstone Medical Center,501-333-6654,3525 Hwy 5 North Suite 200
Conway,Faulkner,Providence Family Medicine,501-499-1086,605 Salem Rd
Conway,Faulkner,"TLC Pediatrics, PLLC",501-327-2444,955 Carolyn Lane
Little Rock,Pulaski,"Labcorp Employer Services, Inc.",888-833-1006,500 S UNIVERSITY AVE
Lonoke,Lonoke,CHI St Vincent Primary Care - Lonoke,501-676-0858,130 J.F. Blvd
Scott,Pulaski,CHI St Vincent Primary Care - Scott,501-552-7999,15111 Hwy 165
Springdale,Washington,Marathon Health-Springdale,479-717-1020,3880 Willowood Ave
Batesville,Independence,Future Fuel Chemical Company,870-698-5310,2800 Gap Rd
Springdale,Washington,Minimal Access Surgery Clinic,479-927-3100,5230 Willow Creek Drive
Morrilton,Conway,CHI St Vincent Primary Care - Morrilton,501-354-4637,1711 E Harding St
Jacksonville,Pulaski,CHI St Vincent Primary Care - Jacksonville Main St,501-982-2108,1110 W Main Street
Conway,Faulkner,UCA Student Health Center,501-450-3136,201 Donaghey Ave
Beebe,White,Health-Way Save-On Drugs,501-882-6471,1903 W Dewitt Henry Dr
Arkadelphia,Clark,Ouachita Baptist University,870-245-5244,410 Ouachita Street
CONWAY,Faulkner,CONWAY HEMATOLOGY ONCOLOGY,501-327-2995,350 SALEM RD
Greers Ferry,Cleburne,Cornerstone Pharmacy Greers Ferry,501-825-6265,8470 Edgemont Road
Magnolia,Arkansas,Premier Urgent Care,870-234-7435,50 Hwy 79 N
Bradford,White,Winningham Pharmacy,501-344-2763,232 W Main Street
Little Rock,Pulaski,Arkansas Internal Medicine Clinic PA,501-537-4590,1401 Kanis Park Drive
Stuttgart,Arkansas,Lennox Wellness Center,870-727-6033,512 West Lennox Road
Forrest City,St. Francis,Boar's Head Family Health & Wellness Center,870-581-4318,2530 West Broadway Ave
Springdale,Washington,Springdale Dialysis Center,479-463-7000,2158 Butterfield Coach Rd
Bentonville,Benton,Hidden Springs Dialysis,479-463-7000,3000 NW A Street
Siloam Springs,Benton,Dialysis Centers of Siloam Springs,479-463-7000,2125 E Main Street
Bentonville,Benton,Benton County Dialysis,479-463-7000,801 SE Plaza Ave
Fayetteville,Washington,North Hills Dialysis Center,479-463-7000,107 E Monte Painter
El Dorado,Union,Clean Harbors,870-863-7173,309 American Road
Little Rock,Pulaski,"Enhanced Healthcare,LLC",501-420-2466,10201 West Markham
Little Rock,Pulaski,Office Park Family Practice,501-225-9222,7 Office Park Dr.
Fort Smith,Sebastian,TruCare Fort Smith,479-922-2253,7206 Highway 271 S
Little Rock,Pulaski,"Home Health Care Agency of Arkansas, LLC",501-553-1953,1200 John Barrow
Little Rock,Pulaski,Stephens Elementary,501-447-6400,3700 W. 18th St.
Marion,Crittenden,Community Family Medical,870-559-2480,1139 Hwy 77
Little Rock,Pulaski,Nayles Medical Clinic,501-371-0055,1400 Main Street
Camden,Ouachita,"Wellness Clinic and Healthcare Consulting, PLLC",870-204-7249,426 Hospital Drive
Pine Bluff,Jefferson,US Renal Care Pine Bluff,870-534-7400,2800 W. 28th Street
North Little Rock,Pulaski,PharMerica,501-753-1529,3809 McCain Park Dr
Arkadelphia,Clark,Heartland Pharmacy Arkadelphia,870-464-9560,2503 Pine St
Little Rock,Pulaski,CVS Pharmacy #17611,501-801-3413,420 S University Ave
Little Rock,Pulaski,Little Rock Walk in Clinic,501-291-2322,802 N University
Jonesboro,Craighead,Bruised Reed,870-897-1541,217 E Cherry Ave
PINE BLUFF,Jefferson,FIRST US CLINIC PA,870-535-4141,1801 W 40TH AVE
Mena,Polk,"Ouachita Family Practice, LLC",479-394-5068-e,1210 Deqeen St.
Fort Smith,Sebastian,Pharmacy Specialties Group,479-648-0000,12110 Hwy 71 S
Camden,Ouachita,Ouachita Valley Family Clinic,870-836-8101,353 Cash Rd
WEST MEMPHIS,Crittenden,CUFFIE HEALTHCARE ON WHEELS,870-394-4600,403 INGRAM BOULEVARD
Jonesboro,Craighead,Tiger Safety LLC,870-268-4841,1 Nestle Way
Little Rock,Pulaski,Baptist Health Community Outreach,501-202-1540,10117 Kanis Road
Little Rock,Pulaski,University of Arkansas at Little Rock Health Services,501-916-3188,2801 South University Avenue
Forrest City,St. Francis,East Arkansas Community College,870-633-4480,1700 Newcastle Road
Malvern,Arkansas,Miller's Drug Store,501-332-2351,231 S. Main St.
Little Rock,Pulaski,Waters of Cumberland,501-374-7565,1516 Cumberland Street
Greenbrier,Faulkner,Greenbrier Nursing & Rehab Center,501-679-0860,16 Wilson Farm Rd.
Pocahontas,Randolph,City Pharmacy-  Pocahontas,870-892-5517,606 S Park St
Rogers,Benton,"Harvey Pediatrics, PLLC",479-254-1100,900 S 52nd Street
pine bluff,Jefferson,"flowers pharmacy,llc",870-534-8366,1401 state street
Conway,Arkansas,Salem Place Nursing and Rehab,501-327-4421,2401 Christina Lane
Marion,Crittenden,The Local Pharm,870-739-5310,924 State Highway 77
Mountain Home,Baxter,Lincoln Paden Medical Group,870-425-3030,405 Buttercup Drive
Mount Holly,Union,"I Can Nursing, LLC",870-315-5921,267 Union Rd 81
Rogers,Benton,"NWA MD Consulting, PLLC",479-845-7000,199 N 34th Street
Newport,Jackson,The Blossoms at Newport Rehab & Nursing Center,870-523-6539,326 Lindley Lane
Greenbrier,Faulkner,Family First Primary Care,501-679-3998,25 Business Park Dr
WARREN,Bradley,SE ARKANSAS HUMAN DEVELOPMENT CENTER,870-226-6774,#1 CENTER CIRCLE
pottsville,Pope,pottsville pharmacy,479-498-4130,7146 river rd
HOT SPRINGS,Garland,HOMETOWN PHARMACY INC,501-760-5667,2228 ALBERT PIKE
Little Rock,Pulaski,Natural State Genomics,501-753-0100,10915 North Rodney Parham Rd.
HOT SPRINGS,Garland,LAKESIDE PHARMACY INC.,501-262-5400,998 SHADY GROVE RD
North Little Rock,Saline,Buchanan's Performance Academy,501-349-2435,4810 W. Commerical Dr
Bentonville,Benton,"Impact Health Biometric Testing, Inc.",305-219-3067,1202 NE McClain Road
Springdale,Washington,Best Start Pediatrics,479-575-9359,5203 Willow Creek
Rogers,Benton,Rapid Results Diagnostics - Rogers,479-367-6506,1051 W Pleasant Grove Rd
Bentonville,Benton,Rapid Results Bentonville,479-553-7223,400 N Walton Blvd
Hensley,Saline,Primary Care 360 Hensley,501-486-4045,20602 Arch St
Salem,Fulton,"Alan Winberry, DDS",870-895-3609,730 HWY 62 West
White Hall,Jefferson,Primary Care 360 White Hall,501-397-2604,103 Frankie Lane
Hot Springs,Garland,"Lakeside Walk In Clinic, PLLC",501-781-3612,2230 Malvern Avenue
El Dorado,Union,"Dr Ray, Pediatrics",870-862-8221,403 W Oak
Pearcy,Garland,Mission Filled Drug Company,501-521-1500,250 Adam Brown Road
Bryant,Saline,Baptist Health Family Clinic - Bryant,501-847-0289,4411 Hwy 5 North
Cabot,Lonoke,Baptist Health Family Clinic - Cabot,504-843-6585,205 Westport Drive
White Hall,Jefferson,Baptist Health Family Clinic - White Hall,870-247-7632,7500 Dollarway Road
Sherwood,Pulaski,Sherwood Family Medical Center,501-835-0703,1308 E. Kiehl Avenue
Conway,Faulkner,Baptist Health Family Clinic - Conway West,501-358-6720,625 United Drive
Little Rock,Pulaski,Baptist Health Family Clinic - Hillcrest,501-663-4357,2601 Kavanaugh Blvd
Beebe,White,Beebe Family Clinic,501-882-3388,47 Hwy 64 West
Malvern,Hot Spring,Baptist Health Family Clinic - Malvern,501-337-9066,1234 S Main Street
North Little Rock,Pulaski,Baptist Health Family Clinic - Lakewood,501-758-2294,2508 Crestwood Lane
Maumelle,Pulaski,Baptist Health Family Clinic - Maumelle,501-851-7400,1701 Club Manor Road
Little Rock,Pulaski,Baptist Health Family Clinic - Otter Creek,501-445-1331,11321 Interstate 30
Perryville,Perry,Baptist Health Family Clinic - Perryville,501-889-5543,518 North Fourche Avenue
Little Rock,Pulaski,Baptist Health Family Clinic - West,501-868-8410,6015 Chenonceau
Conway,Faulkner,Baptist Health Pediatrics Clinic Conway,501-358-6892,625 United Drive
Greenbrier,Faulkner,Greenbrier Family Clinic,501-679-4030,49 S Broadview
North Little Rock,Pulaski,Baptist Health Specialty Clinic - NLR,501-945-0392,3500 Springhill Drive
Little Rock,Pulaski,Baptist Health Family Clinic Pleasant Valley,501-224-2875,11719 Hinson Road
Little Rock,Pulaski,Baptist Health Family Clinic - Baptist Health Drive,501-217-0500,9600 Baptist Health Drive
Benton,Saline,Benton Family Clinic,501-778-8264,819 West Carpenter
North Little Rock,Pulaski,Baptist Health Comprehensive Care,501-223-2860,3201 Springhill Drive
Cabot,Lonoke,The Pediatric Clinic Cabot,501-843-0068,203B Plaza Blvd.
Sherwood,Pulaski,The Pediatric Clinic,501-758-1530,1525 Country Club Rd.
Dumas,Desha,Ascension DePaul Services,870-382-4878,145 West Waterman Street
Ashdown,Little River,King Medical Clinic,870-898-5464,180 Hwy 71 S.
russellville,Pope,russellville pediatric & adolescent clinic,479-498-0858,220 n sidney ave
Conway,Faulkner,Conway Human Development Center,501-329-6851,150 E. Siebenmorgen
Gould,Lincoln,Ascension DePaul Services- Gould,870-263-4317,407 S. Gould Avenue
Jonesboro,Craighead,Apache Drive Children's Clinic,870-935-1800,3203 Methodist Drive
Jonesboro,Craighead,Jonesboro Pediatric Clinic,870-333-5721,616 Southwest Drive
Jonesboro,Craighead,Jonesboro Human Development Center,870-932-4043,4701 Colon Dr
Barlett,Crittenden,Guardian Mid South Pharmacy,901-800-2100,3110 Stage Post Dr
Melbourne,Izard,Allied Health Services,870-368-3100,600 North Main Street
Little Rock,Pulaski,CYF Pharmacy,501-660-6897,"1521 Merrill dr, Ste D220"
Bentonville,Benton,Living Tree Pediatrics,479-282-2966,1110 SE 30th Street
Rogers,Benton,New Directions Health And Wellness,479-268-6404,"5431 W Pinnacle Point Dr, Ste 104"
Booneville,Logan,Big World Drug Enterprises Inc.,479-675-3900,1531 East Main Street
Little Rock,Pulaski,"8500 Kanis RD. Little Rock, AR 72204",501-569-9907,8500 Kanis RD.
Malvern,Hot Spring,Higginbotham Family Clinic,501-337-9994,1002 Schneider Dr
McCrory,Woodruff,Cache River Medical Clinic,870-731-0640,115 W. Kimberly Drive
Jonesboro,Craighead,"Doctors Health Group, Inc.  d/b/a St. Bernards First Care",870-972-8181,415 E. Matthews
Jonesboro,Craighead,"Doctors Health Group, Inc.  d/b/a St. BernardsFirst Care",870-972-8181,1001 W. Parker Rd
Jonesboro,Craighead,"Doctors Health Group, Inc. d/b/a St Bernards Urgent Care",870-972-8181,333 Red Wolf Blvd.
Jonesboro,Craighead,"OBGYN Associates of Jonesboro, Inc. d/b/a St. Bernards OBG",870-935-3990,800 South Church
Forrest City,St. Francis,James T. Meredith Jr MD PA,870-633-4711,921 Holiday Drive
Mansfield,Scott,Health-Wise Pharmacy - Mansfield,479-928-4499,213 East Howard
Conway,Faulkner,Nabholz Construction Corporation - Conway,501-505-5165,604 Merriman St
Hampton,Calhoun,"CABUN Rural Health Services, Inc",870-798-4299,402 Lee Street
Bryant,Saline,Assurance Health and Wellness Clinic,501-481-8800,22461 Interstate 30
Beebe,White,Baptist Health Urgent Care - Beebe,501-628-9212,2069 W Center St
Walnut Ridge,Lawrence,NEA Reliant Healthcare Professionals Inc,870-886-8300,1045 W. Main St
Paragould,Greene,Paragould Pediatrics,870-236-7337,4000 Linwood Dr
Viola,Fulton,Sharp's Pharmacy Barn,870-900-1001,9746 Hwy 62 W
Springdale,Washington,Resolute Healthcare,479-212-8492,2988 W Huntsville Ave
1484 West 1st N,Nevada,Baptist Health Family Clinic Prescott,870-887-0155,1484 West 1st N
Gurdon,Clark,Baptist Health Family Clinic Gurdon,870-353-2800,200 East Walnut St
Arkadelphia,Clark,Baptist Health Family Clinic Caddo Valley,870-245-2198,10 Montgomery Dr.
Bismarck,Hot Spring,Baptist Health Family Clinic Bismarck,501-865-2855,6679 Hwy 7
Sparkman,Dallas,Baptist Health Family Clinic Sparkman,870-678-4010,104 West Taylor St
Arkadelphia,Clark,Baptist Health Arkadelphia Medical Clinic,870-246-2471,2913 Cypress Rd
Melbourne,Izard,Baxter County Regional Hospital INC/DBA: Hometown Clinic a,870-916-2150,1019 E Main St
Mountain View,Stone,Baxter County Regional Hospital INC/DBA: Hometown Clinic F,870-269-9800,"803 West Main,"
Mountain View,Stone,Baxter County Regional Hospital INC/DBA: Hometown Clinic a,870-269-3447,103 Mountain Place Drive
Mountain Home,Baxter,Baxter County Regional Hospital INC/DBA:BRMC Fairlamb Clin,870-508-3870,614 Broadmoor Drive
Mountain Home,Baxter,Baxter County Regional Hospital INC/DBA:BRMC Family on Mar,870-508-7600,675 Hwy 62 E
Yellville,Marion,Baxter County Regional Hospital INC/DBA:BRMC Ahren's Clini,870-449-4221,414 West Old Main Street
Mountain Home,Baxter,Baxter County Regional Hospital INC/DBA:BRMC Family Clinic,870-425-6122,899 Burnett Drive
Batesville,Independence,"White River Health system, Inc DBA Batesville Family Care",870-793-1126,1215 Sidney St
Green Forest,Carroll,Marathon Health at Tyson Green Forrest,870-204-7591,1001 East Main Street
Little Rock,Pulaski,Kittell Clinic,501-539-9100,11412 Huron Lane
FAYETTEVILLE,Washington,INFECTIOUS DISEASE SPECIALISTS OF NORTHWEST ARKANSAS,479-444-6522,4038 REMINGTON DRIVE
North Little Rock,Pulaski,"Williams Counseling, Creating Opportunities for Advancemen",501-590-2488,13109 Faulkner Lake Rd.
Bentonville,Benton,Integrated Dentistry PA,479-333-1300,1101 North East McClain Road
Greenbrier,Faulkner,Greenbrier Children's Clinic,501-679-6796,10 Lois Lane
Heber Springs,Cleburne,Baptist Health-Heber Springs Campus Clinic,501-887-3500,1800 Bypass Road
Heber Springs,Cleburne,Baptist Health Family Clinic-Heber Springs,501-362-7538,1415 Hwy 25 B
Greers Ferry,Cleburne,Baptist Health Family Clinic-Greers Ferry,501-825-8800,8544 Edgemont Road
North Little Rock,Pulaski,Baptist Health Family Medicine Residency Clini,501-753-4132,3201 Springhill Drive
North Little Rock,Pulaski,Baptist Health Internal Medicine Clinic,501-955-4530,3201 Springhill Drive
Springdale,Washington,WH AR Medical PLLC dba Walmart Health,479-344-4038,4870 Elm Springs Rd
England,Lonoke,Baptist health England Medical Clinic,501-842-3819,221 NE 2nd Street
Dewitt,Arkansas,Baptist Health Dewitt Medical Clinic,870-946-0300,1703 S. Whitehead Dr.
Hazen,Prairie,Baptist Health Hazen Medical Clinic,870-255-3954,102 W. Front Street
Brinkley,Monroe,Baptist Health Brinkley Medical Clinic,870-734-4405,110 No. New York
Stuttgart,Arkansas,Baptist Health Stuttgart Medical Clinic,870-673-7211,1609 No. Medical Dr.
Clarendon,Monroe,Baptist Health Clarendon Medical Clinic,870-747-3349,198 So. Main
Pine Bluff,Jefferson,Drug Room Inc,870-536-3980,1700 West 42nd Street
Clarksville,Johnson,Clarksville Family Medical Center,479-705-8181,25 Professional Park Drive
Harrison,Boone,Harrison Dialysis,870-204-6683,1409 Gladden St
Paragould,Greene,"Paragould Family Care, PA",870-236-4001,5 Market Pl
Calico Rock,Izard,Baxter County Regional Hospital INC/DBA: Calico Rock,870-916-2000,2161 Hwy 56
Springdale,Washington,WH AR Medical PLLC dba Walmart Health,479-344-4038,4870 Elm Springs Rd SUITE B
Little Rock,Pulaski,Lexicon Health and Wellness Clinic,501-912-7785,8914 Fourche Dam Pike
Walnut Ridge,Lawrence,Lawrence County Family Clinic,870-886-3543,1210 West Main
Harrisburg,Poinsett,Harrisburg Family Medical Center,870-578-5443,802 Illinois Street
Arkadelphia,Clark,Student Health and Wellness Henderson State University,870-230-5102,1100 Henderson Street
West Fork,Washington,Rest Assured Home Care LLC,479-294-3060,222 Rivendale Dr.
Hope,Hempstead,Pafford Health Systems Medical Clinic,870-777-7660,100 East 20th Street
LITTLE ROCK,Pulaski,COSTCO,501-817-8603,16901 CHENAL PARKWAY
Dequeen,Sevier,Pilgrims Dequeen Nashville Complex,870-584-5221,401 South 3rd Street
Bono,Craighead,NEA Reliant Healthcare Professionals  Inc,870-930-9990,9146 HWY 63 N
Forrest City,St. Francis,St. Francis Discount Pharmacy,870-594-0760,1132 N. Washington St.
Marion,Crittenden,Vital Wellness Clinic LLC,870-551-4099,4001 Commercial Center Dr Ste#1
Texarkana,Miller,"NH Enterprises, LLC",903-276-3526,1201 E. 35th
Texarkana,Miller,Total Access Health & Wellness,870-621-0081,3809 E. 9th Street
Fort Smith,Arkansas,Baptist Health Urgent Care Zero St,479-259-9239,1910 S Zero St
Cabot,Lonoke,Central Arkansas Family Clinic,501-422-6373,1106 S. Pine St
